state_name,district_name,micro,small,medium,total,competition
Andhra Pradesh,Alluri Sitharama Raju,7073,6,0,7079,Low
Andhra Pradesh,Konaseema,37288,112,5,37405,Medium
Andhra Pradesh,West Godavari,82973,1203,73,84249,High
Arunachal Pradesh,Dibang Valley,149,3,0,152,Low
Arunachal Pradesh,Lower Subansiri,1053,8,1,1062,Low
Assam,Biswanath,13897,57,2,13956,Medium
Assam,Charaideo,8871,26,2,8899,Low
Assam,Hojai,19202,84,1,19287,Medium
Assam,Marigaon,19470,61,3,19534,Medium
Assam,Sonitpur,28158,148,11,28317,Medium
Assam,Tinsukia,32620,242,9,32871,Medium
Assam,Udalguri,13179,41,0,13220,Medium
Bihar,Banka,24336,78,1,24415,Medium
Bihar,Madhepura,27728,185,7,27920,Medium
Bihar,Muzaffarpur,90277,664,23,90964,High
Bihar,Nalanda,38718,201,3,38922,Medium
Bihar,Saran,43376,239,10,43625,Medium
Bihar,Sheikhpura,8461,34,0,8495,Low
Bihar,Vaishali,56785,258,7,57050,High
Chhattisgarh,Balrampur,8012,32,0,8044,Low
Chhattisgarh,Dhamtari,16862,104,1,16967,Medium
Chhattisgarh,Gariaband,11344,28,0,11372,Medium
Goa,North Goa,44403,464,29,44896,Medium
Gujarat,Anand,56628,336,14,56978,High
Gujarat,Dohad,23944,162,5,24111,Medium
Gujarat,Jamnagar,51332,733,33,52098,High
Gujarat,Mahesana,51296,963,60,52319,High
Gujarat,Mahisagar,10249,34,0,10283,Medium
Gujarat,Narmada,6995,43,0,7038,Low
Gujarat,Rajkot,161677,1966,183,163826,High
Gujarat,Sabar Kantha,31990,260,12,32262,Medium
Gujarat,Tapi,10657,88,4,10749,Medium
Gujarat,Valsad,69221,720,31,69972,High
Haryana,Jind,42175,387,12,42574,Medium
Haryana,Rewari,29675,458,26,30159,Medium
Haryana,Sonipat,51419,571,23,52013,High
Himachal Pradesh,Bilaspur,11544,65,2,11611,Medium
Himachal Pradesh,Lahul And Spiti,1031,2,0,1033,Low
Himachal Pradesh,Solan,35295,347,16,35658,Medium
Jharkhand,Dhanbad,66784,489,23,67296,High
Jharkhand,Jamtara,8764,25,1,8790,Low
Jharkhand,Khunti,6258,23,0,6281,Low
Jharkhand,Lohardaga,8828,40,1,8869,Low
Jharkhand,Ranchi,105965,1071,64,107100,High
Karnataka,Bengaluru (Rural),88752,785,48,89585,High
Karnataka,Bengaluru (Urban),504290,9235,800,514325,High
Karnataka,Bidar,40909,221,9,41139,Medium
Karnataka,Dharwad,72837,643,35,73515,High
Karnataka,Kolar,42905,290,13,43208,Medium
Karnataka,Koppal,29647,330,2,29979,Medium
Karnataka,Udupi,45600,355,14,45969,Medium
Karnataka,Yadgir,23432,171,4,23607,Medium
Kerala,Ernakulam,109574,2095,160,111829,High
Kerala,Kannur,62543,547,25,63115,High
Madhya Pradesh,East Nimar,28680,174,2,28856,Medium
Madhya Pradesh,Harda,14605,112,0,14717,Medium
Madhya Pradesh,Hoshangabad,30426,201,10,30637,Medium
Madhya Pradesh,Khargone,42991,231,4,43226,Medium
Madhya Pradesh,Maihar,2750,10,1,2761,Low
Madhya Pradesh,Mandla,16877,71,0,16948,Medium
Madhya Pradesh,Mauganj,2397,2,0,2399,Low
Madhya Pradesh,Panna,13578,39,0,13617,Medium
Madhya Pradesh,Raisen,29816,197,2,30015,Medium
Madhya Pradesh,Rajgarh,52472,287,12,52771,High
Madhya Pradesh,Sidhi,15607,74,1,15682,Medium
Madhya Pradesh,Tikamgarh,14927,90,4,15021,Medium
Madhya Pradesh,Vidisha,38627,203,6,38836,Medium
Maharashtra,Amravati,95909,565,14,96488,High
Maharashtra,Buldhana,85008,408,16,85432,High
Maharashtra,Chandrapur,62659,401,12,63072,High
Maharashtra,Dhule,56552,353,12,56917,High
Maharashtra,Gondia,39767,275,7,40049,Medium
Maharashtra,Kolhapur,182444,1108,73,183625,High
Maharashtra,Nan Ded,98582,570,20,99172,High
Maharashtra,Nandurbar,29695,214,5,29914,Medium
Maharashtra,Thane,582934,5046,346,588326,High
Manipur,Churachandpur,3553,14,0,3567,Low
Manipur,Imphal East,14146,66,1,14213,Medium
Manipur,Kakching,3104,11,0,3115,Low
Manipur,Tamenglong,930,4,1,935,Low
Meghalaya,South West  Garo Hills,1699,6,0,1705,Low
Meghalaya,West Khasi Hills,1770,5,0,1775,Low
Mizoram,Hnahthial,348,0,0,348,Low
Nagaland,Chumoukedima,2325,1,0,2326,Low
Odisha,Malkangiri,12269,52,0,12321,Medium
Odisha,Nayagarh,25943,97,3,26043,Medium
Punjab,Fatehgarh Sahib,25158,1013,76,26247,Medium
Punjab,Jalandhar,117830,874,49,118753,High
Punjab,Mansa,22542,137,4,22683,Medium
Punjab,Moga,42241,200,7,42448,Medium
Punjab,Shahid Bhagat Singh Nagar,24822,91,1,24914,Medium
Rajasthan,Baran,25153,238,17,25408,Medium
Rajasthan,Bhilwara,93674,604,23,94301,High
Rajasthan,Dudu,915,3,0,918,Low
Rajasthan,Jodhpur Gramin,4161,11,1,4173,Low
Rajasthan,Nagaur,74680,428,13,75121,High
Rajasthan,Pratapgarh,18517,89,1,18607,Medium
Rajasthan,Rajsamand,38261,156,0,38417,Medium
Rajasthan,Sirohi,27753,130,6,27889,Medium
Sikkim,Gangtok,7698,90,9,7797,Low
Tamil Nadu,Ariyalur,25037,110,5,25152,Medium
Tamil Nadu,Chengalpattu,88645,315,6,88966,High
Tamil Nadu,Chennai,362363,6405,521,369289,High
Tamil Nadu,Coimbatore,210002,2076,144,212222,High
Tamil Nadu,Kanniyakumari,74387,432,12,74831,High
Tamil Nadu,Krishnagiri,82506,525,15,83046,High
Tamil Nadu,Mayiladuthurai,28360,70,1,28431,Medium
Tamil Nadu,The Nilgirish,26739,91,6,26836,Medium
Tamil Nadu,Tuticorin,67770,441,20,68231,High
Telangana,Karimnagar,55677,298,4,55979,High
Telangana,Mahabubnagar,41108,197,8,41313,Medium
Telangana,Nagarkurnool,23010,75,0,23085,Medium
Telangana,Wanaparthy,17488,58,0,17546,Medium
Uttar Pradesh,Ambedakar Nagar,30844,149,3,30996,Medium
Uttar Pradesh,Amethi,26297,126,4,26427,Medium
Uttar Pradesh,Bahraich,36788,250,6,37044,Medium
Uttar Pradesh,Bulandshahar,60021,463,16,60500,High
Uttar Pradesh,Chandauli,29075,183,17,29275,Medium
Uttar Pradesh,Deoria,45891,209,6,46106,Medium
Uttar Pradesh,Gautam Buddha Nagar,161601,1987,178,163766,High
Uttar Pradesh,Ghaziabad,164533,1842,130,166505,High
Uttar Pradesh,Ghazipur,56063,227,5,56295,High
Uttar Pradesh,Jalaun,20733,154,2,20889,Medium
Uttar Pradesh,Kaushambi,17639,79,1,17719,Medium
Uttar Pradesh,Mau,32763,133,4,32900,Medium
Uttar Pradesh,Moradabad,59945,424,20,60389,High
Uttar Pradesh,Pilibhit,31133,127,1,31261,Medium
Uttar Pradesh,Rae Bareli,45941,218,6,46165,Medium
Uttar Pradesh,Rampur,40176,232,18,40426,Medium
Uttar Pradesh,Sultanpur,32903,168,2,33073,Medium
Uttar Pradesh,Unnao,35810,172,5,35987,Medium
Uttar Pradesh,Varanasi,105401,1101,59,106561,High
Uttarakhand,Champawat,6384,23,1,6408,Low
Uttarakhand,Dehradun,105328,799,42,106169,High
Uttarakhand,Haridwar,68476,452,20,68948,High
Uttarakhand,Pauri Garhwal,13273,45,2,13320,Medium
Uttarakhand,Tehri Garhwal,11803,52,3,11858,Medium
Uttarakhand,Udham Singh Nagar,69519,498,16,70033,High
West Bengal,Darjeeling,52588,756,33,53377,High
West Bengal,Purba Bardhaman,78382,614,12,79008,High
West Bengal,Purulia,28961,164,2,29127,Medium
Andaman And Nicobar Islands,Nikobars,496,0,0,496,Low
Delhi,East,80925,1724,122,82771,High
Jammu And Kashmir,Baramulla,35753,131,3,35887,Medium
Jammu And Kashmir,Budgam,27130,74,2,27206,Medium
Jammu And Kashmir,Kathua,21907,100,5,22012,Medium
Jammu And Kashmir,Reasi,9509,40,1,9550,Low
Lakshadweep,Lakshadweep District,1336,0,0,1336,Low
Puducherry,Mahe,562,22,2,586,Low
Andhra Pradesh,Anakapalli,30861,80,3,30944,Medium
Andhra Pradesh,Chitoor,74402,514,24,74940,High
Andhra Pradesh,East Godavari,83519,918,33,84470,High
Andhra Pradesh,Spsr Nellore,87400,697,29,88126,High
Andhra Pradesh,Srikakulam,47467,292,9,47768,Medium
Andhra Pradesh,Vizianagaram,45169,246,6,45421,Medium
Andhra Pradesh,Y.S.R,79510,515,16,80041,High
Arunachal Pradesh,East Siang,1383,20,0,1403,Low
Arunachal Pradesh,Leparada,313,3,0,316,Low
Arunachal Pradesh,Lower Dibang Valley,1033,7,0,1040,Low
Arunachal Pradesh,Lower Siang,260,5,0,265,Low
Arunachal Pradesh,Shi Yomi,123,0,0,123,Low
Arunachal Pradesh,Siang,188,1,0,189,Low
Arunachal Pradesh,West Kameng,1757,10,0,1767,Low
Assam,Chirang,9083,37,4,9124,Low
Assam,Dima Hasao,3431,19,0,3450,Low
Assam,Kamrup,40940,251,16,41207,Medium
Assam,Karimganj,23354,117,1,23472,Medium
Assam,Lakhimpur,28925,124,6,29055,Medium
Assam,Majuli,3607,5,0,3612,Low
Bihar,Aurangabad,31902,209,5,32116,Medium
Bihar,Begusarai,45185,284,10,45479,Medium
Bihar,Buxar,19706,151,4,19861,Medium
Bihar,Jamui,21152,91,2,21245,Medium
Bihar,Kaimur (Bhabua),15688,163,2,15853,Medium
Bihar,Katihar,47194,289,8,47491,Medium
Bihar,Khagaria,21043,140,3,21186,Medium
Chhattisgarh,Bastar,16191,122,2,16315,Medium
Chhattisgarh,Dantewada,4212,28,0,4240,Low
Chhattisgarh,Kondagaon,9163,60,2,9225,Low
Chhattisgarh,Mahasamund,20617,112,1,20730,Medium
Chhattisgarh,Raipur,108686,2119,208,111013,High
Chhattisgarh,Sarangarh Bilaigarh,5064,7,0,5071,Low
Chhattisgarh,Surguja,19096,183,6,19285,Medium
Goa,South Goa,29670,309,7,29986,Medium
Gujarat,Bhavnagar,61899,653,24,62576,High
Gujarat,Junagadh,42785,360,9,43154,Medium
Gujarat,Vadodara,173252,1655,98,175005,High
Haryana,Charki Dadri,8656,80,2,8738,Low
Haryana,Jhajjar,27995,348,8,28351,Medium
Haryana,Panchkula,28964,400,31,29395,Medium
Haryana,Panipat,60041,900,39,60980,High
Haryana,Rohtak,36394,469,25,36888,Medium
Himachal Pradesh,Chamba,10552,35,2,10589,Medium
Himachal Pradesh,Una,15886,102,3,15991,Medium
Jharkhand,Giridih,42732,179,6,42917,Medium
Jharkhand,Godda,15108,63,2,15173,Medium
Jharkhand,Palamu,24680,146,3,24829,Medium
Jharkhand,Sahebganj,12990,67,1,13058,Medium
Karnataka,Bagalkot,39602,265,6,39873,Medium
Karnataka,Chamarajnagar,22767,126,2,22895,Medium
Karnataka,Chikballapur,34259,234,7,34500,Medium
Karnataka,Kodagu,17518,187,10,17715,Medium
Karnataka,Mysuru,106841,949,27,107817,High
Karnataka,Raichur,40806,457,13,41276,Medium
Karnataka,Shivamogga,54753,491,15,55259,High
Karnataka,Vijayanagar,21738,114,1,21853,Medium
Karnataka,Vijayapura,53985,464,26,54475,High
Kerala,Kollam,54005,622,14,54641,High
Madhya Pradesh,Anuppur,12071,48,2,12121,Medium
Madhya Pradesh,Bhopal,125410,1094,81,126585,High
Madhya Pradesh,Datia,14758,78,1,14837,Medium
Madhya Pradesh,Dewas,52699,197,9,52905,High
Madhya Pradesh,Gwalior,80693,699,34,81426,High
Madhya Pradesh,Indore,202980,2262,151,205393,High
Madhya Pradesh,Jhabua,19097,77,1,19175,Medium
Madhya Pradesh,Morena,33116,178,3,33297,Medium
Madhya Pradesh,Shivpuri,27294,174,0,27468,Medium
Madhya Pradesh,Singrauli,21210,150,3,21363,Medium
Madhya Pradesh,Ujjain,80514,439,16,80969,High
Maharashtra,Beed,90658,395,16,91069,High
Maharashtra,Hingoli,33021,188,4,33213,Medium
Maharashtra,Jalna,80619,401,23,81043,High
Maharashtra,Nashik,287453,2199,88,289740,High
Maharashtra,Osmanabad,67435,217,4,67656,High
Maharashtra,Raigad,200346,1198,70,201614,High
Maharashtra,Ratnagiri,62789,227,4,63020,High
Maharashtra,Satara,141981,634,30,142645,High
Maharashtra,Sindhudurg,36879,79,1,36959,Medium
Maharashtra,Solapur,208914,1139,33,210086,High
Manipur,Senapati,3474,7,1,3482,Low
Manipur,Tengnoupal,659,0,1,660,Low
Meghalaya,Eastern West Khasi Hills,777,1,0,778,Low
Meghalaya,North Garo Hills,1654,6,1,1661,Low
Meghalaya,South West Khasi Hills,1089,2,0,1091,Low
Meghalaya,West Jaintia Hills,4095,12,0,4107,Low
Mizoram,Champhai,2136,9,0,2145,Low
Mizoram,Lawngtlai,1085,4,0,1089,Low
Nagaland,Peren,1285,0,0,1285,Low
Odisha,Angul,35726,353,22,36101,Medium
Odisha,Balangir,32401,181,6,32588,Medium
Odisha,Baleshwar,65359,371,7,65737,High
Odisha,Kendujhar,41931,400,39,42370,Medium
Odisha,Koraput,27154,162,3,27319,Medium
Odisha,Rayagada,15605,98,1,15704,Medium
Odisha,Sonepur,13076,56,1,13133,Medium
Punjab,Amritsar,102036,797,34,102867,High
Punjab,Barnala,23923,142,5,24070,Medium
Punjab,Faridkot,24856,124,2,24982,Medium
Punjab,Sangrur,48698,364,9,49071,Medium
Punjab,Sas Nagar,101103,768,66,101937,High
Punjab,Sri Muktsar Sahib,30167,195,5,30367,Medium
Rajasthan,Ajmer,109100,732,35,109867,High
Rajasthan,Beawar,9656,31,3,9690,Low
Rajasthan,Bikaner,88594,806,32,89432,High
Rajasthan,Churu,55396,207,6,55609,High
Rajasthan,Didwana Kuchaman,12417,15,1,12433,Medium
Rajasthan,Jodhpur,126234,1226,55,127515,High
Rajasthan,Phalodi,5646,17,1,5664,Low
Rajasthan,Salumbar,2303,2,0,2305,Low
Rajasthan,Shahpura,1047,2,0,1049,Low
Sikkim,Pakyong,1805,4,0,1809,Low
Tamil Nadu,Kallakurichi,30238,98,2,30338,Medium
Tamil Nadu,Pudukkottai,56048,222,5,56275,High
Tamil Nadu,Ranipet,33821,110,4,33935,Medium
Telangana,Adilabad,24640,113,2,24755,Medium
Telangana,Hanumakonda,39532,348,17,39897,Medium
Telangana,Kamareddy,27602,97,2,27701,Medium
Telangana,Khammam,54619,340,7,54966,High
Telangana,Komaram Bheem Asifabad,12047,29,0,12076,Medium
Telangana,Mancherial,31619,113,2,31734,Medium
Telangana,Nalgonda,70369,292,12,70673,High
Telangana,Nirmal,22058,89,2,22149,Medium
Telangana,Vikarabad,26139,88,0,26227,Medium
Tripura,Khowai,5858,17,0,5875,Low
Tripura,Unakoti,7602,25,0,7627,Low
Uttar Pradesh,Auraiya,18516,111,2,18629,Medium
Uttar Pradesh,Ayodhya,44073,279,6,44358,Medium
Uttar Pradesh,Azamgarh,77188,300,7,77495,High
Uttar Pradesh,Banda,17819,123,2,17944,Medium
Uttar Pradesh,Bhadohi,24173,94,2,24269,Medium
Uttar Pradesh,Budaun,34200,250,5,34455,Medium
Uttar Pradesh,Etawah,25554,178,6,25738,Medium
Uttar Pradesh,Gonda,44091,233,14,44338,Medium
Uttar Pradesh,Hapur,32962,248,10,33220,Medium
Uttar Pradesh,Lucknow,212108,2399,153,214660,High
Uttar Pradesh,Mahoba,12979,96,5,13080,Medium
Uttar Pradesh,Siddharthnagar,28080,156,3,28239,Medium
Uttarakhand,Almora,12658,28,0,12686,Medium
Uttarakhand,Bageshwar,4934,7,1,4942,Low
West Bengal,Birbhum,53019,353,7,53379,High
West Bengal,Coochbehar,46297,240,3,46540,Medium
