DISTRICT,Sub_dist,Vill_name,latitude,longitude
ADILABAD,TAMSI,Tamsi-B,3532953.8126258343,3837579.264068773
ADILABAD,TALAMADUGU,Kuchalapoor,3532703.02766349,3829679.2326711104
ADILABAD,BAZARHATNOOR,Kandli,3504848.460252643,3833622.493526099
ADILABAD,UTNOOR,Danthanpalle,3491684.6137837567,3878896.362649698
ADILABAD,ICHODA,Gundi,3496966.224763734,3842672.9510932714
ADILABAD,NERADIGONDA,Kupti (Khurd),3496497.4175215727,3838460.641425699
ADILABAD,NERADIGONDA,Kumari,3496850.15857781,3835671.5083095795
ADILABAD,TALAMADUGU,Jhari,3523016.16138196,3830965.1697079213
ADILABAD,TALAMADUGU,Devapur,3523549.900778313,3840381.676691038
ADILABAD,TALAMADUGU,Arli (Khurd),3524640.176990906,3837587.782647145
ADILABAD,INDRAVELLY,Goureepur,3510632.5396663817,3854662.787106457
ADILABAD,BAZARHATNOOR,Ananthapur,3512214.7292240174,3838259.294977353
ADILABAD,NARNOOR,Mahagaon,3511640.754171434,3878380.0608297037
ADILABAD,BELA,Bhadi,3531849.9972051703,3866973.797612997
ADILABAD,SONALA,Sonala,3503487.314390866,3826476.4581317888
ADILABAD,ICHODA,Kamgiri,3506511.908814846,3846341.7130632405
ADILABAD,BAZARHATNOOR,Girnur,3506748.3894463005,3835091.6490629604
ADILABAD,UTNOOR,Wadoni,3506855.8445877726,3873013.782155851
ADILABAD,BHEEMPUR,Nippani,3540155.01932979,3840755.7055892493
ADILABAD,BELA,Sangdi,3540691.1965304334,3870206.877747097
ADILABAD,NERADIGONDA,Bandemregad,3484561.1743196775,3835458.646232668
ADILABAD,GADIGUDA,Kunikasa,3522468.92900374,3891349.3675846034
ADILABAD,SATHNALA,Sangvi,3521236.503897323,3872646.2533488194
ADILABAD,TAMSI,Ghotkuri,3537395.863938459,3846112.1081084637
ADILABAD,JAINATH,Nirala,3536566.6293566246,3856375.663164585
ADILABAD,BELA,Mangrool,3538228.9694550275,3880148.5081878444
